,orientation,stress,strain
,longitudinal,4.666666667,0.020689655
,longitudinal,296.3333333,0.034482759
,longitudinal,588,0.04137931
,longitudinal,879.6666667,0.048275862
,longitudinal,1171.333333,0.062068966
,circumferential,4,0.072727273
,circumferential,254,0.090909091
,circumferential,504,0.109090909
,circumferential,754,0.127272727
,circumferential,1004,0.145454545
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
mass(g),mass(kg),force,
,,,
0.2,0.0002,0.00196,
,,,
12.7,0.0127,0.12446,
,,,
25.2,0.0252,0.24696,
,,,
37.7,0.0377,0.36946,
,,,
50.2,0.0502,0.49196,
