Nr,TID,PID,x [pixel],y [pixel],t [sec],I [val],Len [pixel],D2S [pixel],D2R [pixel],D2P [pixel],v [pixel/sec],α [deg],Δα [deg]
1,1,1,409.093,613.549,0,59.8,0,0,NA,NA,NA,NA,NA
2,1,2,410.757,613.731,0,54,1.674,1.674,NA,1.674,NA,6.236,NA
3,1,3,412.058,614.209,0,48,3.06,3.037,NA,1.386,NA,20.173,13.938
4,1,4,412.718,613.873,0,56.6,3.8,3.639,NA,0.74,NA,-26.965,-47.138
5,1,5,413.037,612.998,0,53.6,4.731,3.982,NA,0.932,NA,-69.987,-43.023
6,1,6,413.297,611.035,0,47.7,6.711,4.898,NA,1.98,NA,-82.431,-12.443
7,1,7,413.455,609.794,0,39,7.962,5.755,NA,1.251,NA,-82.762,-0.331
8,1,8,413.315,609.366,0,37.8,8.412,5.943,NA,0.45,NA,-108.143,-25.381
9,1,9,413.248,608.099,0,32.4,9.681,6.853,NA,1.269,NA,-93.017,15.126
10,1,10,412.523,608.009,0,44.6,10.412,6.515,NA,0.731,NA,-172.916,-79.899
11,1,11,412.025,608.223,0,35.8,10.954,6.08,NA,0.542,NA,156.789,-30.295
12,1,12,411.069,608.238,0,34.5,11.91,5.666,NA,0.956,NA,179.059,22.27
13,1,13,409.517,609.633,0,54.8,13.996,3.939,NA,2.086,NA,138.062,-40.997
14,1,14,408.003,610.461,0,43.2,15.722,3.275,NA,1.726,NA,151.314,13.252
15,1,15,406.273,610.655,0,43.7,17.462,4.041,NA,1.741,NA,173.61,22.296
16,1,16,404.355,610.624,0,31.6,19.381,5.569,NA,1.919,NA,-179.067,7.323
17,1,17,402.174,611.307,0,45.7,21.666,7.273,NA,2.285,NA,162.589,-18.344
18,1,18,398.902,611.217,0,46.9,24.94,10.455,NA,3.274,NA,-178.413,18.998
19,1,19,395.575,609.36,0,40,28.75,14.153,NA,3.81,NA,-150.838,27.576
20,1,20,392.748,607.29,0,37.8,32.254,17.503,NA,3.503,NA,-143.778,7.06
21,1,21,390.117,606.612,0,48.6,34.971,20.205,NA,2.718,NA,-165.551,-21.773
22,1,22,388.142,606.433,0,39.1,36.954,22.127,NA,1.983,NA,-174.839,-9.288
23,1,23,386.277,607.152,0,47.7,38.953,23.696,NA,1.998,NA,158.927,-26.235
24,1,24,384.325,607.612,0,47.9,40.958,25.47,NA,2.005,NA,166.723,7.797
25,1,25,382.969,608.901,0,56.9,42.829,26.535,NA,1.871,NA,136.453,-30.27
26,1,26,382.26,611.728,0,49,45.743,26.895,NA,2.914,NA,104.076,-32.378
27,1,27,381.448,615.066,0,43,49.179,27.687,NA,3.436,NA,103.684,-0.392
28,1,28,380.307,617.87,0,46.9,52.206,29.109,NA,3.027,NA,112.142,8.458
29,1,29,379.586,620.069,0,51.9,54.52,30.219,NA,2.314,NA,108.134,-4.007
30,1,30,379.377,622.287,0,40.9,56.748,30.975,NA,2.228,NA,95.399,-12.735
31,1,31,378.961,624.454,0,41.4,58.954,32.045,NA,2.207,NA,100.87,5.471
32,1,32,378.421,625.645,0,48.8,60.262,32.972,NA,1.308,NA,114.386,13.516
33,1,33,378.358,626.639,0,44,61.258,33.407,NA,0.996,NA,93.636,-20.751
34,1,34,378.167,626.902,0,44.4,61.583,33.686,NA,0.325,NA,126.013,32.377
35,1,35,378.206,625.486,0,43.4,62.999,33.114,NA,1.416,NA,-88.427,145.56
36,1,36,379.102,623.403,0,43.9,65.268,31.568,NA,2.268,NA,-66.713,21.714
