Nr,TID,PID,x [pixel],y [pixel],t [sec],I [val],Len [pixel],D2S [pixel],D2R [pixel],D2P [pixel],v [pixel/sec],α [deg],Δα [deg]
1,1,1,441,567,0,184.7,0,0,NA,NA,NA,NA,NA
2,1,2,441,573,0,44.3,6,6,NA,6,NA,90,NA
3,1,3,435,570,0,183.4,12.708,6.708,NA,6.708,NA,-153.435,116.565
4,1,4,438,576,0,189.6,19.416,9.487,NA,6.708,NA,63.435,-143.13
5,1,5,438,585,0,41.5,28.416,18.248,NA,9,NA,90,26.565
6,1,6,438,585,0,153.3,28.416,18.248,NA,0,NA,0,-90
7,1,7,438,585,0,184.4,28.416,18.248,NA,0,NA,0,0
8,1,8,441,597,0,37.5,40.786,30,NA,12.369,NA,75.964,75.964
9,1,9,441,603,0,65.5,46.786,36,NA,6,NA,90,14.036
10,1,10,441,609,0,46.2,52.786,42,NA,6,NA,90,0
11,1,11,441,606,0,182.5,55.786,39,NA,3,NA,-90,-180
12,1,12,441,597,0,185.3,64.786,30,NA,9,NA,-90,0
13,1,13,441,588,0,149.7,73.786,21,NA,9,NA,-90,0
14,1,14,441,582,0,99.4,79.786,15,NA,6,NA,-90,0
15,1,15,441,579,0,69.4,82.786,12,NA,3,NA,-90,0
16,1,16,441,588,0,182.4,91.786,21,NA,9,NA,90,180
17,1,17,441,585,0,189.8,94.786,18,NA,3,NA,-90,-180
18,1,18,441,585,0,174.5,94.786,18,NA,0,NA,0,90
19,1,19,441,588,0,135.7,97.786,21,NA,3,NA,90,90
20,1,20,441,591,0,176.5,100.786,24,NA,3,NA,90,0
21,1,21,438,600,0,144.9,110.273,33.136,NA,9.487,NA,108.435,18.435
22,1,22,441,612,0,108.3,122.642,45,NA,12.369,NA,75.964,-32.471
23,1,23,441,612,0,178.3,122.642,45,NA,0,NA,0,-75.964
24,1,24,438,588,0,45.3,146.829,21.213,NA,24.187,NA,-97.125,-97.125
25,1,25,438,600,0,165.4,158.829,33.136,NA,12,NA,90,-172.875
26,1,26,438,600,0,125.8,158.829,33.136,NA,0,NA,0,-90
27,1,27,426,597,0,164.7,171.198,33.541,NA,12.369,NA,-165.964,-165.964
28,1,28,414,588,0,163.3,186.198,34.205,NA,15,NA,-143.13,22.834
29,1,29,414,588,0,162.7,186.198,34.205,NA,0,NA,0,143.13
