Nr,TID,PID,x [pixel],y [pixel],t [sec],I [val],Len [pixel],D2S [pixel],D2R [pixel],D2P [pixel],v [pixel/sec],α [deg],Δα [deg]
1,1,1,308.573,309.56,0,197.3,0,0,NA,NA,NA,NA,NA
2,1,2,308.064,310.89,0,197.4,1.424,1.424,NA,1.424,NA,110.941,NA
3,1,3,307.219,311.602,0,201.7,2.528,2.449,NA,1.104,NA,139.87,28.929
4,1,4,306.3,311.876,0,203.7,3.487,3.245,NA,0.959,NA,163.35,23.48
5,1,5,305.539,311.873,0,207.4,4.249,3.815,NA,0.762,NA,-179.728,16.922
6,1,6,304.701,312.68,0,197.7,5.412,4.972,NA,1.163,NA,136.05,-44.222
7,1,7,304.023,312.959,0,207.2,6.146,5.679,NA,0.734,NA,157.631,21.58
8,1,8,303.874,313.966,0,210.3,7.164,6.441,NA,1.018,NA,98.42,-59.211
9,1,9,303.743,315.602,0,193.2,8.805,7.735,NA,1.641,NA,94.578,-3.842
10,1,10,302.864,316.662,0,195.5,10.181,9.112,NA,1.377,NA,129.681,35.103
11,1,11,302.283,317.646,0,199.4,11.324,10.244,NA,1.143,NA,120.536,-9.144
12,1,12,301.806,318.13,0,207.8,12.004,10.919,NA,0.68,NA,134.606,14.069
13,1,13,301.086,318.897,0,201.4,13.056,11.968,NA,1.052,NA,133.168,-1.438
14,1,14,300.072,318.835,0,202.3,14.073,12.581,NA,1.017,NA,-176.493,50.34
15,1,15,299.082,317.862,0,211.3,15.46,12.609,NA,1.388,NA,-135.489,41.004
16,1,16,297.982,316.506,0,203.6,17.206,12.665,NA,1.746,NA,-129.033,6.456
17,1,17,297.168,315.765,0,207.2,18.307,12.983,NA,1.101,NA,-137.708,-8.675
18,1,18,296.215,315.834,0,201.2,19.262,13.859,NA,0.955,NA,175.842,-46.45
19,1,19,295.629,316.106,0,207.8,19.909,14.505,NA,0.646,NA,155.167,-20.674
20,1,20,294.626,316.317,0,210.3,20.934,15.498,NA,1.025,NA,168.09,12.923
21,1,21,293.641,316.047,0,205.6,21.955,16.28,NA,1.021,NA,-164.647,27.263
22,1,22,292.834,315.882,0,207.5,22.778,16.96,NA,0.823,NA,-168.447,-3.8
23,1,23,292.043,316.056,0,206.5,23.588,17.76,NA,0.81,NA,167.607,-23.946
24,1,24,291.623,316.068,0,205.5,24.009,18.157,NA,0.421,NA,178.3,10.694
25,1,25,290.747,315.532,0,207.2,25.036,18.799,NA,1.027,NA,-148.478,33.222
26,1,26,289.536,313.941,0,209.2,27.035,19.534,NA,1.999,NA,-127.289,21.188
27,1,27,288.778,311.952,0,211.6,29.164,19.938,NA,2.129,NA,-110.863,16.427
28,1,28,287.969,310.462,0,208.3,30.859,20.623,NA,1.695,NA,-118.49,-7.627
29,1,29,287.519,311.695,0,202.2,32.172,21.162,NA,1.313,NA,110.08,-131.43
30,1,30,287.231,313.169,0,217.4,33.675,21.644,NA,1.502,NA,101.031,-9.049
31,1,31,286.915,313.805,0,209.4,34.385,22.069,NA,0.71,NA,116.431,15.4
32,1,32,286.91,314.429,0,210.6,35.008,22.203,NA,0.624,NA,90.471,-25.96
33,1,33,286.771,316.639,0,210.4,37.223,22.922,NA,2.215,NA,93.593,3.122
34,1,34,286.348,321.349,0,210.6,41.952,25.157,NA,4.729,NA,95.13,1.537
35,1,35,286.484,326.705,0,209.3,47.309,27.962,NA,5.358,NA,88.553,-6.577
36,1,36,286.272,330.174,0,190.6,50.785,30.369,NA,3.476,NA,93.498,4.945
37,1,37,286.267,330.509,0,197.3,51.121,30.601,NA,0.336,NA,90.791,-2.707
38,1,38,285.89,329.653,0,197.3,52.056,30.302,NA,0.935,NA,-113.748,155.461
39,1,39,286.291,330.669,0,205.3,53.148,30.692,NA,1.092,NA,68.45,-177.802
40,1,40,286.585,331.745,0,201.2,54.264,31.235,NA,1.116,NA,74.744,6.294
41,1,41,286.825,333.304,0,194.2,55.841,32.198,NA,1.577,NA,81.24,6.496
42,1,42,288.172,335.129,0,183.8,58.109,32.71,NA,2.268,NA,53.57,-27.67
43,1,43,287.823,334.71,0,180.8,58.654,32.605,NA,0.545,NA,-129.787,176.643
44,1,44,286.715,329.371,0,187.3,64.106,29.5,NA,5.453,NA,-101.727,28.059
45,1,45,285.915,322.933,0,181.5,70.594,26.31,NA,6.487,NA,-97.083,4.644
46,1,46,284.474,318.514,0,191.3,75.242,25.708,NA,4.648,NA,-108.055,-10.972
47,1,47,283.509,318.535,0,184.6,76.207,26.622,NA,0.965,NA,178.747,-73.198
48,1,48,282.812,322.191,0,185.3,79.929,28.69,NA,3.722,NA,100.79,-77.957
49,1,49,282.157,326.888,0,183.6,84.671,31.591,NA,4.742,NA,97.939,-2.851
50,1,50,281.684,331.141,0,182.3,88.951,34.478,NA,4.28,NA,96.345,-1.594
51,1,51,280.085,331.305,0,178.8,90.559,35.839,NA,1.608,NA,174.148,77.803
52,1,52,277.553,327.034,0,182.3,95.524,35.603,NA,4.965,NA,-120.66,65.192
53,1,53,275.625,320.417,0,188.8,102.416,34.69,NA,6.892,NA,-106.245,14.415
54,1,54,274.497,317.346,0,190.6,105.687,34.953,NA,3.271,NA,-110.158,-3.913
55,1,55,272.975,314.834,0,198.6,108.624,35.986,NA,2.937,NA,-121.22,-11.062
56,1,56,272.247,315.802,0,200.6,109.836,36.858,NA,1.211,NA,126.921,-111.859
57,1,57,271.066,318.573,0,196.5,112.848,38.575,NA,3.012,NA,113.095,-13.826
58,1,58,268.876,323.604,0,195.5,118.335,42.108,NA,5.487,NA,113.523,0.428
59,1,59,266.202,330.949,0,197.4,126.151,47.463,NA,7.816,NA,110.005,-3.518
60,1,60,264.5,336.673,0,168.7,132.123,51.745,NA,5.972,NA,106.552,-3.453
61,1,61,263.578,336.767,0,176.6,133.05,52.58,NA,0.927,NA,174.183,67.631
62,1,62,262.03,336.313,0,191.8,134.664,53.684,NA,1.614,NA,-163.657,22.161
63,1,63,260.132,340.988,0,162.5,139.709,57.742,NA,5.045,NA,112.097,-84.246
64,1,64,258.934,344.358,0,169.7,143.286,60.621,NA,3.577,NA,109.569,-2.528
65,1,65,257.972,352.265,0,181.4,151.251,66.213,NA,7.965,NA,96.938,-12.632
66,1,66,257.969,357.141,0,165.3,156.128,69.46,NA,4.876,NA,90.03,-6.907
67,1,67,256.964,355.478,0,179.2,158.071,69.079,NA,1.944,NA,-121.14,148.829
