Nr,TID,PID,x [pixel],y [pixel],t [sec],I [val],Len [pixel],D2S [pixel],D2R [pixel],D2P [pixel],v [pixel/sec],α [deg],Δα [deg]
1,1,1,394.667,612,0,194.5,0,0,NA,NA,NA,NA,NA
2,1,2,394.667,612,0,200.7,0,0,NA,0,NA,0,NA
3,1,3,392,613.333,0,199.2,2.981,2.981,NA,2.981,NA,153.435,153.435
4,1,4,392,613.333,0,200.8,2.981,2.981,NA,0,NA,0,-153.435
5,1,5,392,613.333,0,205.7,2.981,2.981,NA,0,NA,0,0
6,1,6,392,613.333,0,194.4,2.981,2.981,NA,0,NA,0,0
7,1,7,388,614.667,0,199.3,7.198,7.18,NA,4.216,NA,161.565,161.565
8,1,8,385.333,617.333,0,204.7,10.969,10.75,NA,3.771,NA,135,-26.565
9,1,9,385.333,617.333,0,165.9,10.969,10.75,NA,0,NA,0,-135
10,1,10,381.333,617.333,0,181.5,14.969,14.36,NA,4,NA,180,180
11,1,11,381.333,617.333,0,189.6,14.969,14.36,NA,0,NA,0,-180
12,1,12,374.667,618.667,0,192.8,21.768,21.082,NA,6.799,NA,168.69,168.69
13,1,13,374.667,618.667,0,195.8,21.768,21.082,NA,0,NA,0,-168.69
14,1,14,370.667,618.667,0,198.8,25.768,24.909,NA,4,NA,180,180
15,1,15,364,614.667,0,195.5,33.542,30.782,NA,7.775,NA,-149.036,30.964
16,1,16,360,618.667,0,194.8,39.199,35.302,NA,5.657,NA,135,-75.964
17,1,17,360,616,0,187.8,41.866,34.897,NA,2.667,NA,-90,135
18,1,18,360,616,0,198.5,41.866,34.897,NA,0,NA,0,90
19,1,19,360,616,0,198.5,41.866,34.897,NA,0,NA,0,0
20,1,20,360,616,0,200.7,41.866,34.897,NA,0,NA,0,0
21,1,21,357.333,624,0,191.4,50.299,39.215,NA,8.433,NA,108.435,108.435
22,1,22,357.333,624,0,202.4,50.299,39.215,NA,0,NA,0,-108.435
23,1,23,358.667,638.667,0,98,65.026,44.801,NA,14.727,NA,84.806,84.806
24,1,24,358.667,638.667,0,192.4,65.026,44.801,NA,0,NA,0,-84.806
25,1,25,353.333,636,0,192.7,70.989,47.796,NA,5.963,NA,-153.435,-153.435
26,1,26,353.333,636,0,194.3,70.989,47.796,NA,0,NA,0,153.435
27,1,27,358.667,649.333,0,193.7,85.349,51.863,NA,14.36,NA,68.199,68.199
28,1,28,358.667,649.333,0,188.4,85.349,51.863,NA,0,NA,0,-68.199
29,1,29,364,652,0,203.8,91.312,50.403,NA,5.963,NA,26.565,26.565
30,1,30,358.667,650.667,0,192.8,96.809,52.831,NA,5.497,NA,-165.964,167.471
31,1,31,358.667,650.667,0,184.8,96.809,52.831,NA,0,NA,0,165.964
32,1,32,358.667,650.667,0,192.7,96.809,52.831,NA,0,NA,0,0
33,1,35,362.667,650.667,0,190.7,100.809,50.191,NA,4,NA,0,0
34,1,36,356,653.333,0,184.6,107.99,56.6,NA,7.18,NA,158.199,158.199
35,1,37,360,653.333,0,188.5,111.99,53.946,NA,4,NA,0,-158.199
36,1,38,357.333,654.667,0,188.6,114.971,56.694,NA,2.981,NA,153.435,153.435
37,1,39,357.333,654.667,0,189.8,114.971,56.694,NA,0,NA,0,-153.435
38,1,40,357.333,654.667,0,183.4,114.971,56.694,NA,0,NA,0,0
39,1,41,357.333,654.667,0,181.2,114.971,56.694,NA,0,NA,0,0
40,1,42,360,660,0,176.4,120.934,59.21,NA,5.963,NA,63.435,63.435
41,1,43,360,669.333,0,133.5,130.267,66.999,NA,9.333,NA,90,26.565
42,1,44,360,669.333,0,176.3,130.267,66.999,NA,0,NA,0,-90
43,1,45,360,669.333,0,175.7,130.267,66.999,NA,0,NA,0,0
44,1,46,353.333,673.333,0,183.5,138.042,73.961,NA,7.775,NA,149.036,149.036
45,1,47,353.333,673.333,0,66.3,138.042,73.961,NA,0,NA,0,-149.036
46,1,48,348,670.667,0,178.3,144.005,74.964,NA,5.963,NA,-153.435,-153.435
47,1,49,345.333,670.667,0,181.8,146.671,76.652,NA,2.667,NA,180,-26.565
48,1,50,345.333,670.667,0,184.5,146.671,76.652,NA,0,NA,0,-180
49,1,51,345.333,670.667,0,185.8,146.671,76.652,NA,0,NA,0,0
50,1,52,330.667,670.667,0,181.9,161.338,86.82,NA,14.667,NA,180,180
51,1,53,330.667,672,0,181.4,162.671,87.727,NA,1.333,NA,90,-90
52,1,54,332,677.333,0,184.6,168.169,90.529,NA,5.497,NA,75.964,-14.036
53,1,55,330.667,677.333,0,176.3,169.502,91.457,NA,1.333,NA,180,104.036
54,1,56,328,672,0,186.4,175.465,89.691,NA,5.963,NA,-116.565,63.435
55,1,57,328,672,0,177.8,175.465,89.691,NA,0,NA,0,116.565
56,1,58,328,672,0,181.8,175.465,89.691,NA,0,NA,0,0
57,1,59,322.667,685.333,0,170.2,189.825,102.771,NA,14.36,NA,111.801,111.801
58,1,60,322.667,686.667,0,135.7,191.159,103.726,NA,1.333,NA,90,-21.801
59,1,61,322.667,686.667,0,180.4,191.159,103.726,NA,0,NA,0,-90
60,1,62,314.667,700,0,177.7,206.708,118.929,NA,15.549,NA,120.964,120.964
61,1,63,310.667,704,0,176.7,212.365,124.579,NA,5.657,NA,135,14.036
62,1,64,310.667,705.333,0,174.7,213.698,125.567,NA,1.333,NA,90,-45
63,1,65,306.667,712,0,87.5,221.473,133.207,NA,7.775,NA,120.964,30.964
64,1,66,306.667,708,0,178.3,225.473,130.231,NA,4,NA,-90,149.036
65,1,67,306.667,708,0,175.3,225.473,130.231,NA,0,NA,0,90
66,1,68,306.667,709.333,0,175.4,226.806,131.217,NA,1.333,NA,90,90
67,1,69,306.667,709.333,0,172.4,226.806,131.217,NA,0,NA,0,-90
68,1,70,298.667,712,0,177.5,235.239,138.622,NA,8.433,NA,161.565,161.565
69,1,71,298.667,710.667,0,173.6,236.572,137.663,NA,1.333,NA,-90,108.435
70,1,72,289.333,713.333,0,178.1,246.279,146.163,NA,9.707,NA,164.055,-105.945
71,1,73,288,716,0,180.3,249.26,148.976,NA,2.981,NA,116.565,-47.49
72,1,74,284,722.667,0,181.5,257.035,156.506,NA,7.775,NA,120.964,4.399
73,1,75,284,722.667,0,184.5,257.035,156.506,NA,0,NA,0,-120.964
74,1,76,281.333,730.667,0,174.7,265.468,164.092,NA,8.433,NA,108.435,108.435
75,1,77,281.333,730.667,0,178.4,265.468,164.092,NA,0,NA,0,-108.435
76,1,78,268,744,0,171.6,284.324,182.944,NA,18.856,NA,135,135
77,1,79,261.333,741.333,0,173.7,291.504,185.755,NA,7.18,NA,-158.199,66.801
78,1,80,253.333,734.667,0,131.4,301.918,187.142,NA,10.414,NA,-140.194,18.004
79,1,81,241.333,732,0,174.8,314.21,194.708,NA,12.293,NA,-167.471,-27.277
80,1,82,236,732,0,176.7,319.544,198.935,NA,5.333,NA,180,-12.529
81,1,83,224,733.333,0,176.5,331.618,209.401,NA,12.074,NA,173.66,-6.34
82,1,84,224,740,0,176.7,338.284,213.333,NA,6.667,NA,90,-83.66
83,1,85,224,740,0,173.5,338.284,213.333,NA,0,NA,0,-90
84,1,86,217.333,737.333,0,173.5,345.465,217.153,NA,7.18,NA,-158.199,-158.199
85,1,87,213.333,740,0,173.7,350.272,221.959,NA,4.807,NA,146.31,-55.491
86,1,88,213.333,744,0,173.8,354.272,224.289,NA,4,NA,90,-56.31
87,1,89,209.333,749.333,0,43.4,360.939,230.671,NA,6.667,NA,126.87,36.87
88,1,90,205.333,756,0,25.8,368.713,237.872,NA,7.775,NA,120.964,-5.906
89,1,91,194.667,772,0,172.8,387.943,256.125,NA,19.23,NA,123.69,2.726
90,1,92,188,772,0,169.4,394.61,261.364,NA,6.667,NA,180,56.31
91,1,93,182,780,0,169.7,404.61,271.019,NA,10,NA,126.87,-53.13
92,1,94,180,786,0,165.2,410.934,276.329,NA,6.325,NA,108.435,-18.435
93,1,95,180,786,0,171.4,410.934,276.329,NA,0,NA,0,-108.435
94,1,96,176,782,0,175.3,416.591,276.975,NA,5.657,NA,-135,-135
95,1,97,170,786,0,170.6,423.802,284.167,NA,7.211,NA,146.31,-78.69
96,1,98,160,790,0,161.5,434.572,294.538,NA,10.77,NA,158.199,11.889
97,1,99,156,796,0,168.7,441.783,301.36,NA,7.211,NA,123.69,-34.509
98,1,100,148,808,0,163.4,456.206,315.056,NA,14.422,NA,123.69,0
99,1,101,146,808,0,163.4,458.206,316.625,NA,2,NA,180,56.31
100,1,102,146,804,0,156.7,462.206,314.164,NA,4,NA,-90,90
101,1,103,144,812,0,160.6,470.452,320.677,NA,8.246,NA,104.036,-165.964
102,1,104,142,820,0,154.7,478.698,327.268,NA,8.246,NA,104.036,0
103,1,105,136,826,0,159.6,487.183,335.715,NA,8.485,NA,135,30.964
104,1,106,128,834,0,150.7,498.497,346.98,NA,11.314,NA,135,0
105,1,107,112,846,0,155.4,518.497,366.956,NA,20,NA,143.13,8.13
106,1,108,106,858,0,154.8,531.913,379.268,NA,13.416,NA,116.565,-26.565
107,1,109,90,866,0,157.4,549.802,396.658,NA,17.889,NA,153.435,36.87
108,1,110,74,870,0,166.6,566.294,411.572,NA,16.492,NA,165.964,12.529
109,1,111,62,874,0,176.4,578.944,423.451,NA,12.649,NA,161.565,-4.399
110,1,112,36,882,0,169.2,606.146,448.934,NA,27.203,NA,162.897,1.332
111,1,113,20,888,0,164.6,623.234,465.351,NA,17.088,NA,159.444,-3.453
112,1,114,2,892,0,167.2,641.674,482.273,NA,18.439,NA,167.471,8.027
113,1,115,8,916,0,79.2,666.412,491.861,NA,24.739,NA,75.964,-91.507
114,1,116,4,908,0,74.3,675.356,490.139,NA,8.944,NA,-116.565,167.471
115,1,117,4,908,0,80.2,675.356,490.139,NA,0,NA,0,116.565
116,1,118,4,908,0,78,675.356,490.139,NA,0,NA,0,0
117,1,119,4,932,0,111.6,699.356,504.995,NA,24,NA,90,90
118,1,120,4,952,0,164.6,719.356,517.9,NA,20,NA,90,0
119,1,121,4,952,0,165.5,719.356,517.9,NA,0,NA,0,-90
120,1,122,4,952,0,89.1,719.356,517.9,NA,0,NA,0,0
121,1,123,4,996,0,177.6,763.356,547.792,NA,44,NA,90,90
122,1,124,4,1020,0,165.3,787.356,564.876,NA,24,NA,90,0
123,1,125,8,1032,0,138.5,800.006,570.886,NA,12.649,NA,71.565,-18.435
124,1,126,8,1040,0,82.7,808.006,576.797,NA,8,NA,90,18.435
125,1,127,4,1044,0,141.2,813.662,582.447,NA,5.657,NA,135,45
126,1,128,4,1076,0,130.8,845.662,606.561,NA,32,NA,90,-45
127,1,129,4,1076,0,82.8,845.662,606.561,NA,0,NA,0,-90
128,1,130,4,1092,0,161.6,861.662,618.886,NA,16,NA,90,90
129,1,131,4,1104,0,93.4,873.662,628.239,NA,12,NA,90,0
130,1,132,4,1136,0,58.3,905.662,653.603,NA,32,NA,90,0
131,1,133,4,1144,0,92.5,913.662,660.034,NA,8,NA,90,0
132,1,134,4,1156,0,82.1,925.662,669.744,NA,12,NA,90,0
133,1,135,4,1184,0,32.6,953.662,692.679,NA,28,NA,90,0
134,1,136,4,1184,0,112.8,953.662,692.679,NA,0,NA,0,-90
135,1,137,4,1200,0,116.5,969.662,705.949,NA,16,NA,90,90
136,1,138,4,1200,0,26.9,969.662,705.949,NA,0,NA,0,-90
137,1,139,4,1248,0,25.2,1017.662,746.402,NA,48,NA,90,90
138,1,140,4,1272,0,27.8,1041.662,766.955,NA,24,NA,90,0
139,1,141,0,1340,0,50.9,1109.78,828.098,NA,68.118,NA,93.366,3.366
140,1,142,0,1396,0,53.2,1165.78,877.734,NA,56,NA,90,-3.366
141,1,143,8,1428,0,29.2,1198.765,902.977,NA,32.985,NA,75.964,-14.036
142,1,144,8,1464,0,132,1234.765,935.636,NA,36,NA,90,14.036
143,1,145,4,1496,0,135.6,1267.014,966.476,NA,32.249,NA,97.125,7.125
144,1,146,12,1520,0,136.2,1292.312,985.341,NA,25.298,NA,71.565,-25.56
145,1,147,8,1564,0,113.2,1336.494,1027.529,NA,44.181,NA,95.194,23.629
146,1,148,4,1620,0,167.3,1392.636,1081.057,NA,56.143,NA,94.086,-1.109
147,1,149,4,1696,0,37.2,1468.636,1152.248,NA,76,NA,90,-4.086
148,1,150,4,1716,0,157.3,1488.636,1171.083,NA,20,NA,90,0
149,1,151,0,1776,0,134.9,1548.769,1229.088,NA,60.133,NA,93.814,3.814
150,1,152,0,1776,0,163.2,1548.769,1229.088,NA,0,NA,0,-93.814
151,1,153,0,1784,0,71.8,1556.769,1236.667,NA,8,NA,90,90
152,1,154,0,1820,0,118.1,1592.769,1270.837,NA,36,NA,90,0
153,1,155,0,1836,0,120.2,1608.769,1286.055,NA,16,NA,90,0
154,1,156,0,1844,0,92,1616.769,1293.671,NA,8,NA,90,0
155,1,157,0,1844,0,126,1616.769,1293.671,NA,0,NA,0,-90
156,2,1,532,614,0,196.4,0,0,NA,NA,NA,NA,NA
157,2,2,528,620,0,44.5,7.211,7.211,NA,7.211,NA,123.69,NA
