Nr,TID,PID,x [pixel],y [pixel],t [sec],I [val],Len [pixel],D2S [pixel],D2R [pixel],D2P [pixel],v [pixel/sec],α [deg],Δα [deg]
1,1,2,305.333,440.667,0,201.5,0,0,NA,NA,NA,NA,NA
2,1,3,305.167,440.167,0,205.4,0.527,0.527,NA,0.527,NA,-108.435,NA
3,1,4,304.167,440.833,0,209.8,1.729,1.179,NA,1.202,NA,146.31,-105.255
4,1,5,303.667,441.333,0,208.6,2.436,1.795,NA,0.707,NA,135,-11.31
5,1,6,303.167,441.833,0,202.3,3.143,2.461,NA,0.707,NA,135,0
6,1,7,303,442.833,0,202.3,4.157,3.184,NA,1.014,NA,99.462,-35.538
7,1,8,302.5,443.333,0,200.6,4.864,3.891,NA,0.707,NA,135,35.538
8,1,9,302.167,443.833,0,200.6,5.465,4.478,NA,0.601,NA,123.69,-11.31
9,1,10,302,444.333,0,204.2,5.992,4.955,NA,0.527,NA,108.435,-15.255
10,1,11,301.167,445.167,0,194.1,7.17,6.133,NA,1.179,NA,135,26.565
11,1,12,300.833,445.667,0,199.3,7.771,6.727,NA,0.601,NA,123.69,-11.31
12,1,13,300.333,445.667,0,196.2,8.271,7.071,NA,0.5,NA,180,56.31
13,1,14,299.667,446.333,0,206.2,9.214,8.014,NA,0.943,NA,135,-45
14,1,15,299,447.5,0,200.5,10.558,9.317,NA,1.344,NA,119.745,-15.255
15,1,16,298.333,447.833,0,197.3,11.303,10.018,NA,0.745,NA,153.435,33.69
16,1,17,296.833,449.5,0,200.3,13.546,12.259,NA,2.242,NA,131.987,-21.448
17,1,18,296.833,450.5,0,196,14.546,12.998,NA,1,NA,90,-41.987
18,1,19,296.667,451.5,0,186.5,15.559,13.873,NA,1.014,NA,99.462,9.462
19,1,20,295.833,453.167,0,200.5,17.423,15.7,NA,1.863,NA,116.565,17.103
20,1,21,295.167,453.833,0,197.5,18.366,16.635,NA,0.943,NA,135,18.435
21,1,22,294.667,455.833,0,194,20.427,18.542,NA,2.062,NA,104.036,-30.964
22,1,23,294,457.5,0,213.5,22.222,20.293,NA,1.795,NA,111.801,7.765
23,1,24,294.167,459.5,0,206.2,24.229,21.895,NA,2.007,NA,85.236,-26.565
24,1,25,294.167,462.333,0,204.2,27.062,24.375,NA,2.833,NA,90,4.764
25,1,26,294.167,464.333,0,209.2,29.062,26.169,NA,2,NA,90,0
26,1,27,294.333,465.833,0,205.3,30.572,27.466,NA,1.509,NA,83.66,-6.34
27,1,28,294.333,468,0,213.5,32.738,29.464,NA,2.167,NA,90,6.34
28,1,29,294.5,470.5,0,187,35.244,31.739,NA,2.506,NA,86.186,-3.814
29,1,30,295.167,471.667,0,195.8,36.588,32.625,NA,1.344,NA,60.255,-25.931
30,1,31,295.5,473.833,0,204.2,38.78,34.594,NA,2.192,NA,81.254,20.999
31,1,32,295.667,474.667,0,204.3,39.63,35.347,NA,0.85,NA,78.69,-2.564
32,1,33,296.333,475.333,0,204.3,40.572,35.816,NA,0.943,NA,45,-33.69
33,1,34,296.5,476.167,0,208.3,41.422,36.582,NA,0.85,NA,78.69,33.69
34,1,35,297.333,476.5,0,208.3,42.32,36.715,NA,0.898,NA,21.801,-56.889
35,1,36,298.167,478.5,0,205.3,44.486,38.506,NA,2.167,NA,67.38,45.579
36,1,37,298.833,479.667,0,205.5,45.83,39.538,NA,1.344,NA,60.255,-7.125
37,1,38,299.5,481.167,0,203,47.472,40.918,NA,1.641,NA,66.038,5.782
38,1,39,299,479,0,211.3,49.695,38.853,NA,2.224,NA,-102.995,-169.032
39,1,40,298.333,477,0,205.6,51.803,37.002,NA,2.108,NA,-108.435,-5.44
40,1,41,297.667,474.667,0,205.3,54.23,34.854,NA,2.427,NA,-105.945,2.49
41,1,42,297.333,472.833,0,207.1,56.093,33.147,NA,1.863,NA,-100.305,5.641
42,1,43,297.333,471.5,0,206.3,57.427,31.854,NA,1.333,NA,-90,10.305
43,1,44,297.167,472.333,0,204.2,58.277,32.703,NA,0.85,NA,101.31,-168.69
44,1,45,297,473.333,0,216.5,59.29,33.713,NA,1.014,NA,99.462,-1.848
45,1,46,296.667,476.667,0,200.3,62.64,37.029,NA,3.35,NA,95.711,-3.752
46,1,47,295.667,479.167,0,196.5,65.333,39.695,NA,2.693,NA,111.801,16.091
47,1,48,295.333,482.833,0,206.5,69.015,43.336,NA,3.682,NA,95.194,-16.607
48,1,49,295.167,484.667,0,194.5,70.856,45.159,NA,1.841,NA,95.194,0
49,1,50,293,485.167,0,206.8,73.079,46.177,NA,2.224,NA,167.005,71.811
50,1,51,292.5,485.333,0,204.6,73.606,46.474,NA,0.527,NA,161.565,-5.44
51,1,52,291.667,485.167,0,202.6,74.456,46.551,NA,0.85,NA,-168.69,29.745
52,1,53,290.667,483.667,0,201.6,76.259,45.432,NA,1.803,NA,-123.69,45
53,1,54,289.5,480.5,0,204.6,79.634,42.865,NA,3.375,NA,-110.225,13.465
54,1,55,289.667,478.667,0,202.4,81.475,41.103,NA,1.841,NA,-84.806,25.419
55,1,56,289.667,479.667,0,210.8,82.475,42.029,NA,1,NA,90,174.806
56,1,57,288,482.333,0,200.6,85.619,45.128,NA,3.145,NA,122.005,32.005
57,1,58,287.333,485.333,0,202.2,88.692,48.157,NA,3.073,NA,102.529,-19.477
58,1,59,286.667,488.833,0,199.6,92.255,51.657,NA,3.563,NA,100.784,-1.745
59,1,60,286.167,490,0,200.3,93.525,52.926,NA,1.269,NA,113.199,12.414
60,1,61,278.5,494.5,0,198.6,102.414,60.15,NA,8.89,NA,149.589,36.39
61,1,62,278.5,495.75,0,195.8,103.664,61.272,NA,1.25,NA,90,-59.589
62,1,63,277.5,498.25,0,182.5,106.357,63.957,NA,2.693,NA,111.801,21.801
63,1,64,277,501.25,0,185.5,109.398,66.881,NA,3.041,NA,99.462,-12.339
64,1,65,275,504,0,206.7,112.799,70.223,NA,3.4,NA,126.027,26.565
65,1,66,273.25,503.75,0,205.4,114.567,70.773,NA,1.768,NA,-171.87,62.103
66,1,67,272,500.5,0,214.5,118.049,68.492,NA,3.482,NA,-111.038,60.832
67,1,68,271.25,497.25,0,206.5,121.384,66.056,NA,3.335,NA,-102.995,8.043
68,1,69,270.75,493.25,0,204.5,125.415,62.937,NA,4.031,NA,-97.125,5.87
69,1,70,270,492.25,0,202.7,126.665,62.524,NA,1.25,NA,-126.87,-29.745
70,1,71,269.5,495.25,0,174.5,129.707,65.294,NA,3.041,NA,99.462,-133.668
71,1,72,269.5,497,0,178.5,131.457,66.764,NA,1.75,NA,90,-9.462
72,1,73,269,500.25,0,177.8,134.745,69.787,NA,3.288,NA,98.746,8.746
73,1,74,268.25,503.5,0,182.5,138.08,72.96,NA,3.335,NA,102.995,4.248
74,1,75,268,507.5,0,188.6,142.088,76.554,NA,4.008,NA,93.576,-9.418
75,1,76,268,511.75,0,184.4,146.338,80.291,NA,4.25,NA,90,-3.576
76,1,77,266.75,514.25,0,201.4,149.133,83.085,NA,2.795,NA,116.565,26.565
77,1,78,267.167,517.5,0,173.4,152.41,85.791,NA,3.277,NA,82.694,-33.871
78,1,79,265.833,517.833,0,184.4,153.784,86.689,NA,1.374,NA,165.964,83.27
79,1,80,266.5,520.167,0,166.4,156.211,88.478,NA,2.427,NA,74.055,-91.909
80,1,81,267.167,524.5,0,179.3,160.595,92.113,NA,4.384,NA,81.254,7.199
81,1,82,267.167,530.167,0,179.5,166.262,97.298,NA,5.667,NA,90,8.746
82,1,83,268.5,530.5,0,145.4,167.636,97.091,NA,1.374,NA,14.036,-75.964
83,1,84,269.5,532.167,0,163.2,169.58,98.266,NA,1.944,NA,59.036,45
84,1,85,270.167,536.167,0,141.6,173.635,101.769,NA,4.055,NA,80.538,21.501
85,1,86,270.167,536.167,0,158.6,173.635,101.769,NA,0,NA,0,-80.538
86,1,87,268.167,531.167,0,175.1,179.02,97.835,NA,5.385,NA,-111.801,-111.801
87,1,88,266.167,522.833,0,189.6,187.59,91.024,NA,8.57,NA,-103.496,8.306
88,1,89,265.167,516.833,0,183.3,193.673,86.109,NA,6.083,NA,-99.462,4.033
89,1,90,265.167,515.167,0,174.5,195.339,84.638,NA,1.667,NA,-90,9.462
90,1,91,263.833,519.167,0,167.4,199.556,88.795,NA,4.216,NA,108.435,-161.565
91,1,92,262.5,520.5,0,155.4,201.441,90.598,NA,1.886,NA,135,26.565
92,1,93,260.833,524.833,0,162.9,206.084,95.207,NA,4.643,NA,111.038,-23.962
93,1,94,260.833,530.5,0,168.5,211.751,100.251,NA,5.667,NA,90,-21.038
94,1,95,258.167,536.5,0,174.8,218.317,106.812,NA,6.566,NA,113.962,23.962
