Nr,TID,PID,x [pixel],y [pixel],t [sec],I [val],Len [pixel],D2S [pixel],D2R [pixel],D2P [pixel],v [pixel/sec],α [deg],Δα [deg]
1,1,1,266.5,113,0,148.6,0,0,NA,NA,NA,NA,NA
2,1,2,266.5,112.5,0,148.6,0.5,0.5,NA,0.5,NA,-90,NA
3,1,3,266.5,112.5,0,145.6,0.5,0.5,NA,0,NA,0,90
4,1,4,266,112.5,0,150.6,1,0.707,NA,0.5,NA,180,180
5,1,5,266,112.5,0,159.6,1,0.707,NA,0,NA,0,-180
6,1,6,266,112.5,0,144.6,1,0.707,NA,0,NA,0,0
7,1,7,266,112.5,0,129.6,1,0.707,NA,0,NA,0,0
8,1,8,266,112.5,0,123.6,1,0.707,NA,0,NA,0,0
9,1,9,266.5,112.5,0,112.6,1.5,0.5,NA,0.5,NA,0,0
10,1,10,266.5,112.5,0,113.6,1.5,0.5,NA,0,NA,0,0
11,1,11,266.5,112.5,0,123.6,1.5,0.5,NA,0,NA,0,0
12,1,12,266.5,112.5,0,130.6,1.5,0.5,NA,0,NA,0,0
13,1,13,266.5,112.5,0,132.6,1.5,0.5,NA,0,NA,0,0
14,1,14,266.5,112,0,145.1,2,1,NA,0.5,NA,-90,-90
15,1,15,268,111.5,0,147.2,3.581,2.121,NA,1.581,NA,-18.435,71.565
16,1,16,270,111.5,0,131.6,5.581,3.808,NA,2,NA,0,18.435
17,1,17,270,111.5,0,142.2,5.581,3.808,NA,0,NA,0,0
18,1,18,270.5,111,0,151.9,6.288,4.472,NA,0.707,NA,-45,-45
19,1,19,271.5,111,0,117.1,7.288,5.385,NA,1,NA,0,45
20,1,20,272.5,111,0,70.2,8.288,6.325,NA,1,NA,0,0
21,1,21,273,111.5,0,92.6,8.995,6.671,NA,0.707,NA,45,45
22,1,22,273.5,111.5,0,62.9,9.495,7.159,NA,0.5,NA,0,-45
23,1,23,273.5,111.5,0,75.2,9.495,7.159,NA,0,NA,0,0
24,1,24,273.5,111.5,0,98.1,9.495,7.159,NA,0,NA,0,0
25,1,25,273.5,111.5,0,118.1,9.495,7.159,NA,0,NA,0,0
26,1,26,273.5,111.5,0,130.1,9.495,7.159,NA,0,NA,0,0
27,1,27,273.5,112,0,133.6,9.995,7.071,NA,0.5,NA,90,90
28,1,28,273.5,112,0,136.9,9.995,7.071,NA,0,NA,0,-90
29,1,29,274,112.5,0,142.2,10.702,7.517,NA,0.707,NA,45,45
30,1,30,274,112.5,0,142.2,10.702,7.517,NA,0,NA,0,-45
31,1,31,274,112.5,0,141.7,10.702,7.517,NA,0,NA,0,0
32,1,32,274.5,113.5,0,139.9,11.82,8.016,NA,1.118,NA,63.435,63.435
33,1,33,273.5,113.5,0,147.2,12.82,7.018,NA,1,NA,180,116.565
34,1,34,273.5,113.5,0,144.2,12.82,7.018,NA,0,NA,0,-180
35,1,35,273.5,113.5,0,143.9,12.82,7.018,NA,0,NA,0,0
36,1,36,273.5,113.5,0,131.8,12.82,7.018,NA,0,NA,0,0
37,1,37,273.5,113.5,0,130.2,12.82,7.018,NA,0,NA,0,0
38,1,38,273.5,113.5,0,125.2,12.82,7.018,NA,0,NA,0,0
39,1,39,273.5,114.5,0,142.1,13.82,7.159,NA,1,NA,90,90
40,1,40,273.5,114.5,0,135.1,13.82,7.159,NA,0,NA,0,-90
41,1,41,273.5,114.5,0,126.1,13.82,7.159,NA,0,NA,0,0
42,1,42,273.5,114.5,0,129.1,13.82,7.159,NA,0,NA,0,0
43,1,43,273.5,114.5,0,133.8,13.82,7.159,NA,0,NA,0,0
44,1,44,273.5,114.5,0,128.9,13.82,7.159,NA,0,NA,0,0
45,1,45,273.5,114.5,0,135.9,13.82,7.159,NA,0,NA,0,0
46,1,46,273.5,114.5,0,139.9,13.82,7.159,NA,0,NA,0,0
47,1,47,273.5,114.5,0,143.9,13.82,7.159,NA,0,NA,0,0
48,1,48,273.5,114,0,136.2,14.32,7.071,NA,0.5,NA,-90,-90
49,1,49,273.5,114,0,136.2,14.32,7.071,NA,0,NA,0,90
50,1,50,273.5,114,0,140.2,14.32,7.071,NA,0,NA,0,0
51,1,51,273.5,114,0,140.2,14.32,7.071,NA,0,NA,0,0
52,1,52,273.5,114,0,141.1,14.32,7.071,NA,0,NA,0,0
