Nr	TID	PID	x [pixel]	y [pixel]	t [sec]	I [val]	Len [pixel]	D2S [pixel]	D2R [pixel]	D2P [pixel]	v [pixel/sec]	? [deg]	?? [deg]
	1	1	200.120225544631	251.497505580276	0	255	0	0	NA	NA	NA	NA	NA
2	1	2	198.255329199307	252.017817767084	0	255	0.31	0.31	NA	0.31	NA	136.585	NA
3	1	3	198.564787670948	252.828906156123	0	251	0.589	0.589	NA	0.279	NA	133.375	-3.21
4	1	4	200.405220380329	253.229779130891	0	246	0.91	0.908	NA	0.321	NA	127.226	-6.149
5	1	5	201.266857536227	252.715681227565	0	241	1.166	1.163	NA	0.256	NA	126.165	-1.061
6	1	6	199.055392152168	251.847138738163	0	255	1.415	1.411	NA	0.249	NA	129.456	3.291
7	1	7	200.874059251711	253.461022205926	0	242	1.741	1.737	NA	0.327	NA	136.452	6.996
8	1	8	199.706711610258	255.827618182667	0	253	1.983	1.977	NA	0.241	NA	128.144	-8.308
9	1	9	197.46854290428	255.357398081101	0	249	2.261	2.253	NA	0.279	NA	122.285	-5.858
10	1	10	198.427522749543	253.076285506405	0	253	2.547	2.533	NA	0.286	NA	117.459	-4.826
11	1	11	196.517549366817	253.693266829677	0	255	2.737	2.723	NA	0.19	NA	127.218	9.759
12	1	12	197.782956170149	253.993939744838	0	252	3.021	3.002	NA	0.283	NA	118.979	-8.239
13	1	13	196.696512994379	254.816633870192	0	252	3.265	3.241	NA	0.245	NA	114.437	-4.542
14	1	14	196.419439361461	255.455356427371	0	252	3.514	3.486	NA	0.249	NA	115.533	1.096
15	1	15	198.916083660349	257.148373617359	0	253	3.767	3.73	NA	0.252	NA	111.597	-3.936
16	1	16	198.962847187236	257.322991355523	0	255	3.989	3.951	NA	0.222	NA	118.539	6.942
17	1	17	197.182552817471	255.964737008519	0	255	4.227	4.173	NA	0.238	NA	102.808	-15.731
18	1	18	199.560619560063	257.196240303405	0	255	4.48	4.419	NA	0.253	NA	109.345	6.537
19	1	19	197.114965076946	255.697256726667	0	249	4.732	4.668	NA	0.252	NA	112.993	3.648
20	1	20	199.354749278151	258.358814518124	0	239	4.931	4.856	NA	0.199	NA	102.463	-10.53
21	1	21	198.417031354621	256.418641169429	0	254	5.165	5.075	NA	0.233	NA	100.564	-1.9
22	1	22	198.173926644593	259.018776822992	0	255	5.435	5.313	NA	0.271	NA	91.342	-9.221
23	1	23	196.159886232965	258.598153781779	0	250	5.651	5.516	NA	0.215	NA	98.957	7.614
24	1	24	197.519867032878	258.88091174157	0	221	5.83	5.676	NA	0.179	NA	91.116	-7.84
25	1	25	199.401438740514	257.07343554309	0	254	6.048	5.878	NA	0.218	NA	94.95	3.834
26	1	26	195.615649412915	258.374696386196	0	252	6.298	6.114	NA	0.251	NA	96.696	1.745
27	1	27	197.673471494466	258.73908637733	0	255	6.598	6.368	NA	0.3	NA	82.724	-13.971
28	1	28	196.582842564166	258.374879980594	0	245	6.769	6.511	NA	0.171	NA	80.695	-2.03
29	1	29	197.731955396518	258.925246503532	0	255	6.961	6.684	NA	0.192	NA	87.509	6.814
30	1	30	198.768282069795	257.296124482237	0	249	7.177	6.873	NA	0.216	NA	83.151	-4.357
31	1	31	199.325427822605	258.990715779461	0	255	7.445	7.089	NA	0.268	NA	74.975	-8.176
32	1	32	196.127675236054	257.890310181119	0	255	7.676	7.292	NA	0.231	NA	81.746	6.771
33	1	33	197.978303304136	257.882118984252	0	252	7.893	7.484	NA	0.217	NA	81.44	-0.306
34	1	34	196.893065332897	259.252555329576	0	255	8.141	7.659	NA	0.248	NA	63.227	-18.213
35	1	35	198.316939416945	260.810190493725	0	255	8.373	7.848	NA	0.232	NA	71.638	8.411
36	1	36	198.008889734402	260.134611343831	0	255	8.605	8.028	NA	0.233	NA	66.817	-4.821
37	1	37	197.112147683427	258.873768321529	0	255	8.856	8.209	NA	0.251	NA	60.888	-5.929
38	1	38	196.814325141691	260.692644266747	0	253	9.101	8.406	NA	0.244	NA	67.894	7.006
39	1	39	196.451165771998	259.480379631847	0	255	9.341	8.604	NA	0.241	NA	67.938	0.044
40	1	40	198.30572138083	259.594979760103	0	233	9.605	8.773	NA	0.264	NA	51.504	-16.433
41	1	41	198.128836880229	263.015173502095	0	255	9.908	9.042	NA	0.303	NA	73.349	21.845
42	1	42	200.19124986013	262.71198919104	0	255	10.108	9.18	NA	0.2	NA	53.12	-20.229
43	1	43	198.524038931824	263.101087690778	0	255	10.415	9.401	NA	0.307	NA	54.737	1.617
44	1	44	199.91859620408	261.927692692548	0	233	10.657	9.579	NA	0.242	NA	54.52	-0.217
