Nr,TID,PID,x [pixel],y [pixel],t [sec],I [val],Len [pixel],D2S [pixel],D2R [pixel],D2P [pixel],v [pixel/sec],α [deg],Δα [deg]
1,1,3,275.5,166.833,0,51.8,0,0,NA,NA,NA,NA,NA
2,1,4,275.5,165.5,0,82.8,1.333,1.333,NA,1.333,NA,-90,NA
3,1,5,275.5,164.833,0,137.9,2,2,NA,0.667,NA,-90,0
4,1,6,275.5,164.833,0,137.9,2,2,NA,0,NA,0,90
5,1,7,275.5,164.833,0,138.6,2,2,NA,0,NA,0,0
6,1,8,275.5,164.833,0,133.9,2,2,NA,0,NA,0,0
7,1,9,275.5,164.833,0,133.9,2,2,NA,0,NA,0,0
8,1,10,275.5,164.833,0,121.9,2,2,NA,0,NA,0,0
9,1,11,275.5,164.833,0,121.9,2,2,NA,0,NA,0,0
10,1,12,275.5,164.833,0,94.9,2,2,NA,0,NA,0,0
11,1,13,275.5,164.833,0,87.1,2,2,NA,0,NA,0,0
12,1,14,275.5,164.833,0,76.1,2,2,NA,0,NA,0,0
13,1,15,275.5,164.833,0,64.1,2,2,NA,0,NA,0,0
14,1,16,275.5,164.833,0,63.1,2,2,NA,0,NA,0,0
15,1,17,275.5,164.833,0,46.1,2,2,NA,0,NA,0,0
16,1,18,275.5,164.833,0,51.8,2,2,NA,0,NA,0,0
17,1,19,275.5,164.833,0,49.1,2,2,NA,0,NA,0,0
18,1,20,275.5,164.833,0,45.8,2,2,NA,0,NA,0,0
19,1,21,277.5,163.5,0,61.8,4.404,3.887,NA,2.404,NA,-33.69,-33.69
20,1,22,277.5,163.5,0,57.8,4.404,3.887,NA,0,NA,0,33.69
21,1,23,277.5,163.5,0,52.8,4.404,3.887,NA,0,NA,0,0
22,1,24,277.5,163.5,0,49.8,4.404,3.887,NA,0,NA,0,0
23,1,25,279.5,161.5,0,159.9,7.232,6.667,NA,2.828,NA,-45,-45
24,1,26,280.167,161.5,0,155.9,7.899,7.087,NA,0.667,NA,0,45
25,1,27,280.833,161.5,0,155.1,8.565,7.542,NA,0.667,NA,0,0
26,1,28,281.5,161.5,0,156.9,9.232,8.028,NA,0.667,NA,0,0
27,1,29,282.167,161.5,0,150.1,9.899,8.537,NA,0.667,NA,0,0
28,1,30,282.167,161.5,0,143.8,9.899,8.537,NA,0,NA,0,0
29,1,31,282.167,161.5,0,143.8,9.899,8.537,NA,0,NA,0,0
30,1,32,282.167,161.5,0,154.1,9.899,8.537,NA,0,NA,0,0
31,1,33,282.167,161.5,0,152.1,9.899,8.537,NA,0,NA,0,0
32,1,34,282.167,161.5,0,158.1,9.899,8.537,NA,0,NA,0,0
