Nr	TID	PID	x [pixel]	y [pixel]	t [sec]	I [val]	Len [pixel]	D2S [pixel]	D2R [pixel]	D2P [pixel]	v [pixel/sec]	? [deg]	?? [deg]
1	1	1	200.143119778097	254.111918270789	0	255	0	0	NA	NA	NA	NA	NA
2	1	2	201.222153187901	252.726952212609	0	255	0.31	0.31	NA	0.31	NA	136.585	NA
3	1	3	201.281128001377	251.543581250124	0	251	0.589	0.589	NA	0.279	NA	133.375	-3.21
4	1	4	198.775802087314	252.571304606386	0	246	0.91	0.908	NA	0.321	NA	127.226	-6.149
5	1	5	198.369413230285	254.611527737871	0	241	1.166	1.163	NA	0.256	NA	126.165	-1.061
6	1	6	199.245218717963	253.018674539305	0	255	1.415	1.411	NA	0.249	NA	129.456	3.291
7	1	7	200.839969292484	252.777029942065	0	242	1.741	1.737	NA	0.327	NA	136.452	6.996
8	1	8	200.529700838439	253.084973131336	0	253	1.983	1.977	NA	0.241	NA	128.144	-8.308
9	1	9	197.501329959057	255.235826832704	0	249	2.261	2.253	NA	0.279	NA	122.285	-5.858
10	1	10	196.677739514872	254.920496531568	0	253	2.547	2.533	NA	0.286	NA	117.459	-4.826
11	1	11	198.272184432611	254.871007481791	0	255	2.737	2.723	NA	0.19	NA	127.218	9.759
12	1	12	197.01849505049	254.624140830308	0	252	3.021	3.002	NA	0.283	NA	118.979	-8.239
13	1	13	196.852613512449	254.362369758375	0	252	3.265	3.241	NA	0.245	NA	114.437	-4.542
14	1	14	197.61436453744	254.328573769793	0	252	3.514	3.486	NA	0.249	NA	115.533	1.096
15	1	15	198.378766472824	256.130819117218	0	253	3.767	3.73	NA	0.252	NA	111.597	-3.936
16	1	16	198.996891867422	254.897063424081	0	255	3.989	3.951	NA	0.222	NA	118.539	6.942
17	1	17	199.098348914839	254.07433826682	0	255	4.227	4.173	NA	0.238	NA	102.808	-15.731
18	1	18	195.920867072411	257.294761683159	0	255	4.48	4.419	NA	0.253	NA	109.345	6.537
19	1	19	197.041807966694	255.781947354309	0	249	4.732	4.668	NA	0.252	NA	112.993	3.648
20	1	20	199.3154603578	257.126310896285	0	239	4.931	4.856	NA	0.199	NA	102.463	-10.53
