Nr	TID	PID	x [pixel]	y [pixel]	t [sec]	I [val]	Len [pixel]	D2S [pixel]	D2R [pixel]	D2P [pixel]	v [pixel/sec]	? [deg]	?? [deg]
1	1	1	200.282328443214	251.869079685971	0	255	0	0	NA	NA	NA	NA	NA
2	1	2	200.885495792314	253.798562283374	0	255	0.31	0.31	NA	0.31	NA	136.585	NA
3	1	3	198.033838938899	250.901341704652	0	251	0.589	0.589	NA	0.279	NA	133.375	-3.21
4	1	4	197.709234545283	254.566617654748	0	246	0.91	0.908	NA	0.321	NA	127.226	-6.149
5	1	5	197.989097404011	253.999702318281	0	241	1.166	1.163	NA	0.256	NA	126.165	-1.061
6	1	6	199.678052997686	254.847765434436	0	255	1.415	1.411	NA	0.249	NA	129.456	3.291
7	1	7	200.940229317375	252.5040610305	0	242	1.741	1.737	NA	0.327	NA	136.452	6.996
8	1	8	198.359775442109	253.385718759179	0	253	1.983	1.977	NA	0.241	NA	128.144	-8.308
9	1	9	197.30149532637	254.218176553488	0	249	2.261	2.253	NA	0.279	NA	122.285	-5.858
10	1	10	199.279208323821	256.051997857906	0	253	2.547	2.533	NA	0.286	NA	117.459	-4.826
11	1	11	199.515777007803	253.447626283593	0	255	2.737	2.723	NA	0.19	NA	127.218	9.759
12	1	12	197.583779923849	253.232587658398	0	252	3.021	3.002	NA	0.283	NA	118.979	-8.239
13	1	13	199.820728733227	256.99294562947	0	252	3.265	3.241	NA	0.245	NA	114.437	-4.542
14	1	14	198.730699640729	255.378100227468	0	252	3.514	3.486	NA	0.249	NA	115.533	1.096
15	1	15	198.122187319584	253.559827359892	0	253	3.767	3.73	NA	0.252	NA	111.597	-3.936
16	1	16	197.054682413168	256.849807996504	0	255	3.989	3.951	NA	0.222	NA	118.539	6.942
17	1	17	199.250333543129	256.003713302508	0	255	4.227	4.173	NA	0.238	NA	102.808	-15.731
18	1	18	198.326993234448	255.681793885604	0	255	4.48	4.419	NA	0.253	NA	109.345	6.537
19	1	19	197.902428198062	256.183560294554	0	249	4.732	4.668	NA	0.252	NA	112.993	3.648
20	1	20	196.808356068082	255.194266111746	0	239	4.931	4.856	NA	0.199	NA	102.463	-10.53
21	1	21	199.004134364776	256.221073442943	0	254	5.165	5.075	NA	0.233	NA	100.564	-1.9
